epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,454.191,1.948,1.84442,2.22016,0.64468,0.56828,0.60319,0.28053,1.77346,1.60023,2.17316,0.0003764,0.0003764,0.0003764
84,458.532,1.94758,1.92107,2.28725,0.67645,0.55066,0.62914,0.30359,1.72214,1.5819,2.13612,0.0003566,0.0003566,0.0003566
85,465.071,2.02329,1.93361,2.32614,0.67217,0.54195,0.61605,0.30318,1.70577,1.59059,2.12972,0.0003368,0.0003368,0.0003368
86,470.945,1.91923,1.79268,2.19696,0.61219,0.52157,0.59952,0.29407,1.72117,1.60013,2.13794,0.000317,0.000317,0.000317
87,475.28,1.96178,1.8672,2.27066,0.64241,0.54607,0.60408,0.30167,1.70892,1.60834,2.12497,0.0002972,0.0002972,0.0002972
88,479.675,1.95248,1.83955,2.26773,0.66186,0.55187,0.6039,0.29303,1.71363,1.67361,2.13774,0.0002774,0.0002774,0.0002774
89,487.182,1.94034,1.86018,2.26729,0.66999,0.5815,0.63491,0.31316,1.6799,1.62542,2.11362,0.0002576,0.0002576,0.0002576
90,491.612,1.94824,1.85538,2.25132,0.68817,0.56386,0.6397,0.31805,1.66335,1.58511,2.09696,0.0002378,0.0002378,0.0002378
91,499.471,1.85696,2.01873,2.22372,0.63566,0.61233,0.65609,0.32414,1.65392,1.57448,2.08887,0.000218,0.000218,0.000218
92,506.972,1.86686,2.07181,2.26383,0.69071,0.57269,0.66824,0.3384,1.64414,1.55571,2.07937,0.0001982,0.0001982,0.0001982
93,511.425,1.84004,1.90908,2.21532,0.70683,0.55231,0.6645,0.33558,1.64266,1.55402,2.07773,0.0001784,0.0001784,0.0001784
94,515.731,1.81327,1.87928,2.22424,0.67991,0.55947,0.65031,0.33392,1.63548,1.55199,2.07286,0.0001586,0.0001586,0.0001586
95,522.743,1.79352,1.85226,2.18236,0.67858,0.55066,0.65695,0.33378,1.63306,1.55794,2.07127,0.0001388,0.0001388,0.0001388
96,527.842,1.85533,1.83937,2.20328,0.72317,0.55066,0.67464,0.33991,1.63901,1.57914,2.07031,0.000119,0.000119,0.000119
97,532.151,1.79729,1.75875,2.19032,0.68373,0.59471,0.68443,0.3384,1.65039,1.58771,2.08295,9.92e-05,9.92e-05,9.92e-05
98,537.207,1.80947,1.73903,2.16659,0.68728,0.60793,0.68544,0.33555,1.65945,1.58118,2.0908,7.94e-05,7.94e-05,7.94e-05
99,544.413,1.80732,1.83538,2.17196,0.67504,0.60793,0.67197,0.33121,1.66226,1.55731,2.09029,5.96e-05,5.96e-05,5.96e-05
100,548.772,1.83017,1.78069,2.24297,0.65357,0.64317,0.67255,0.33288,1.64547,1.52046,2.07292,3.98e-05,3.98e-05,3.98e-05
